新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价
新老品,US,1731899640523821919,S251010010150,Chic Curves,大码女装,女士下装,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/932a55adf5ed40c2a7efa3387c014e44~tplv-g9dfdl17fc-origin-image.image,2025-10-13,,,2489,1,是,https://shop.tiktok.com/view/product/1731899640523821919?region=US&locale=en,24.71
新老品,US,1732380227029667913,S260429018651,Easy Buy Relax,大码女装,女士下装,4.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/bb2187a105a24b349840f02248d9c8f4~tplv-g9dfdl17fc-origin-image.image,2026-05-11,,高GPM,2963,2,是,https://shop.tiktok.com/view/product/1732380227029667913?region=US&locale=en,22.81
新老品,US,1732308776985924240,S260327056318,LILI.AN.SHOP,大码女装,女士上装,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/112a8f14e7494d8a87698210c0af637e~tplv-g9dfdl17fc-origin-image.image,2026-04-05,,,1545,3,是,https://shop.tiktok.com/view/product/1732308776985924240?region=US&locale=en,9.48
新老品,US,1731237552990950032,S250418014953,LILI.AN.SHOP,大码女装,连体衣,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/df662efe5ffd4673841880afb6d39a03~tplv-g9dfdl17fc-origin-image.image,2025-05-30,,,943,4,是,https://shop.tiktok.com/view/product/1731237552990950032?region=US&locale=en,19.77
新老品,US,1732293512896483834,S260317002127,Elegant Finjani,大码女装,女士连衣裙,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/95624fe9c2de4010924d9bc15e555997~tplv-g9dfdl17fc-origin-image.image,2026-03-17,,高GPM,1838,5,是,https://shop.tiktok.com/view/product/1732293512896483834?region=US&locale=en,12.72
新老品,US,1732015321642275159,S251103029462,FOXCLAW Curve,大码女装,女士上装,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6b497720df5a464499907b4cd05ce875~tplv-g9dfdl17fc-origin-image.image,2025-11-16,,高GPM,1727,6,是,https://shop.tiktok.com/view/product/1732015321642275159?region=US&locale=en,12.05
新老品,US,1732354445869224279,S260419009221,FOXCLAW Curve,大码女装,牛仔,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/c5d46b83440b4729b62c296ad4263701~tplv-g9dfdl17fc-origin-image.image,2026-05-05,,高GPM,921,7,是,https://shop.tiktok.com/view/product/1732354445869224279?region=US&locale=en,20.22
新老品,US,1729463958325923978,S240326007867,YFX Fashion,大码女装,女士上装,4.5,https://p16-she-va.ibyteimg.com/tos-maliva-i-g9dfdl17fc-us/68e4092b3c97495f9b6b91b79e46fcd0~tplv-g9dfdl17fc-origin-image.image,2024-04-12,,,3673,8,是,https://shop.tiktok.com/view/product/1729463958325923978?region=US&locale=en,11.68
新老品,US,1732280221543600991,S260228008094,Chic Curves,大码女装,女士连衣裙,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/677b144023654ee1817a00660bc66dab~tplv-g9dfdl17fc-origin-image.image,2026-03-08,,,1234,9,是,https://shop.tiktok.com/view/product/1732280221543600991?region=US&locale=en,16.66
新老品,US,1732166243047805703,S251222168249,UNITHORSE,大码女装,女士连衣裙,3.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/38da67cb08924ee5815d7b67faf01b1c~tplv-g9dfdl17fc-origin-image.image,2025-12-22,,,507,10,是,https://shop.tiktok.com/view/product/1732166243047805703?region=US&locale=en,41.32
新老品,US,1732291744136270315,S260316000895,Finjani Plus,大码女装,女士上装,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/3210ba96c2e345dbbd6a2b17f79f0864~tplv-g9dfdl17fc-origin-image.image,2026-03-16,,高GPM,1272,11,是,https://shop.tiktok.com/view/product/1732291744136270315?region=US&locale=en,21.82
新老品,US,1732409249779258000,S260522031298,LILI.AN.SHOP,大码女装,女士连衣裙,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/d465bf197dc0400ba1dfe89c25e0a9fa~tplv-g9dfdl17fc-origin-image.image,2026-06-01,,高GPM,821,12,是,https://shop.tiktok.com/view/product/1732409249779258000?region=US&locale=en,14.24
新老品,US,1732358979962180013,S260422031372,ZZSC jeans,大码女装,牛仔,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/bfe3d0d0d8184943bca9040f4489ce6a~tplv-g9dfdl17fc-origin-image.image,2026-04-22,,高GPM,277,13,是,https://shop.tiktok.com/view/product/1732358979962180013?region=US&locale=en,27.78
新老品,GB,1729420333977931476,S240612000617,YIMANSHA Closet,大码女装,女士连衣裙,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/9216d6c352ae47dcaefa4eba749c1f29~tplv-g9dfdl17fc-origin-image.image,2024-06-28,,高GPM,1481,1,是,https://shop.tiktok.com/view/product/1729420333977931476?region=GB&locale=en,18.19
新老品,US,1732358124748640295,S260422005114,Finjani-VV,大码女装,女士连衣裙,3.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/c4cb0173567b452e8850789f3a181756~tplv-g9dfdl17fc-origin-image.image,2026-04-26,,,582,14,是,https://shop.tiktok.com/view/product/1732358124748640295?region=US&locale=en,22.54
新老品,EU,1729804070352886484,S240612000617,YIMANSHA Closet,大码女装,女士连衣裙,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/9216d6c352ae47dcaefa4eba749c1f29~tplv-g9dfdl17fc-origin-image.image,2026-04-20,,,1481,1,是,https://shop.tiktok.com/view/product/1729804070352886484?region=DE&locale=en,29.48
新老品,US,1731286974563455632,S250527008435,LILI.AN.SHOP,大码女装,女士套装及西服,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6e31324b55344feb9aa911cd7c248052~tplv-g9dfdl17fc-origin-image.image,2025-06-10,,高GPM,496,15,是,https://shop.tiktok.com/view/product/1731286974563455632?region=US&locale=en,19.25
新老品,US,1729495145290371563,S240604000479,Finjani Plus,大码女装,女士连衣裙,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2468cfc6098d4d8f938aa9677121ea92~tplv-g9dfdl17fc-origin-image.image,2024-06-11,,,1728,16,是,https://shop.tiktok.com/view/product/1729495145290371563?region=US&locale=en,19.39
新老品,US,1732365893562372533,S260425005566,HPGclothing,大码女装,女士连衣裙,3.5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2eb2b6bbaebf433c85e6dfc08c187f64~tplv-g9dfdl17fc-origin-image.image,2026-04-28,,,400,17,是,https://shop.tiktok.com/view/product/1732365893562372533?region=US&locale=en,19.9
新老品,US,1732322637953012575,S260407055806,Chic Curves,大码女装,女士下装,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/eb8d8b853fac4482a24263812bf5c447~tplv-g9dfdl17fc-origin-image.image,2026-04-10,,高GPM,667,18,是,https://shop.tiktok.com/view/product/1732322637953012575?region=US&locale=en,26.39
新老品,US,1732373870340510039,S260428002814,FOXCLAW Curve,大码女装,女士连衣裙,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/ca4aaf9868614237841f10a480c1d124~tplv-g9dfdl17fc-origin-image.image,2026-05-08,,高GPM,874,19,是,https://shop.tiktok.com/view/product/1732373870340510039?region=US&locale=en,18.92
新老品,US,1732364883782505272,S260424014454,CY Garment,大码女装,女士连衣裙,3.9,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/f5c62c1d493149afbc3c4df93cfff22b~tplv-g9dfdl17fc-origin-image.image,2026-04-27,,高GPM,390,20,是,https://shop.tiktok.com/view/product/1732364883782505272?region=US&locale=en,15.97
新老品,EU,1729491255859124814,S250402016386,bboyAlun,大码女装,女士连衣裙,4.8,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/b76d2ba78abe4a629d4a5f81735e5706~tplv-g9dfdl17fc-origin-image.image,2025-04-21,,,716,2,是,https://shop.tiktok.com/view/product/1729491255859124814?region=DE&locale=en,24.51
新老品,GB,1729410702561545707,S240604000479,Finjani Plus,大码女装,女士连衣裙,4.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2468cfc6098d4d8f938aa9677121ea92~tplv-g9dfdl17fc-origin-image.image,2024-06-11,,,1170,2,是,https://shop.tiktok.com/view/product/1729410702561545707?region=GB&locale=en,19.2
新老品,GB,1729787186100214416,S260327056318,LILI.AN.SHOP,大码女装,女士上装,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/112a8f14e7494d8a87698210c0af637e~tplv-g9dfdl17fc-origin-image.image,2026-04-05,,,1318,3,是,https://shop.tiktok.com/view/product/1729787186100214416?region=GB&locale=en,12.0
新老品,US,1729501337286710615,S260308005120,FOXCLAW Curve,大码女装,女士下装,4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/5f9606f1d2fc41ab83746b64d0a7e2db~tplv-g9dfdl17fc-origin-image.image,2026-03-25,,,757,21,是,https://shop.tiktok.com/view/product/1729501337286710615?region=US&locale=en,11.11
新老品,GB,1729682427183667543,S251103029462,FOXCLAW Curve,大码女装,女士上装,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/6b497720df5a464499907b4cd05ce875~tplv-g9dfdl17fc-origin-image.image,2025-11-16,,高GPM,2494,4,是,https://shop.tiktok.com/view/product/1729682427183667543?region=GB&locale=en,13.45
